url,status,finalUrl,contentType,xRobots,robotsMeta,canonical,title,issues
"https://phiguard.app","200","https://phiguard.app/","text/html","","","https://phiguard.app/","PHIGuard | HIPAA Task Management for Small Medical Clinics",""
"https://phiguard.app/alternatives/airtable-alternative","200","https://phiguard.app/alternatives/airtable-alternative","text/html","","","https://phiguard.app/alternatives/airtable-alternative","Airtable HIPAA Alternative | PHIGuard",""
"https://phiguard.app/alternatives/asana-alternative","200","https://phiguard.app/alternatives/asana-alternative","text/html","","","https://phiguard.app/alternatives/asana-alternative","Asana HIPAA Alternative | PHIGuard",""
"https://phiguard.app/alternatives/basecamp-alternative","200","https://phiguard.app/alternatives/basecamp-alternative","text/html","","","https://phiguard.app/alternatives/basecamp-alternative","Basecamp HIPAA Alternative | PHIGuard",""
"https://phiguard.app/alternatives/clickup-alternative","200","https://phiguard.app/alternatives/clickup-alternative","text/html","","","https://phiguard.app/alternatives/clickup-alternative","ClickUp HIPAA Alternative | PHIGuard",""
"https://phiguard.app/alternatives/confluence-alternative","200","https://phiguard.app/alternatives/confluence-alternative","text/html","","","https://phiguard.app/alternatives/confluence-alternative","Confluence HIPAA Alternative | PHIGuard",""
"https://phiguard.app/alternatives/excel-alternative-healthcare","200","https://phiguard.app/alternatives/excel-alternative-healthcare","text/html","","","https://phiguard.app/alternatives/excel-alternative-healthcare","Microsoft Excel HIPAA Alternative | PHIGuard",""
"https://phiguard.app/alternatives/fellow-alternative","200","https://phiguard.app/alternatives/fellow-alternative","text/html","","","https://phiguard.app/alternatives/fellow-alternative","Fellow HIPAA Alternative | PHIGuard",""
"https://phiguard.app/alternatives/google-drive-alternative-healthcare","200","https://phiguard.app/alternatives/google-drive-alternative-healthcare","text/html","","","https://phiguard.app/alternatives/google-drive-alternative-healthcare","Google Drive HIPAA Alternative | PHIGuard",""
"https://phiguard.app/alternatives/height-alternative","200","https://phiguard.app/alternatives/height-alternative","text/html","","","https://phiguard.app/alternatives/height-alternative","Height HIPAA Alternative | PHIGuard",""
"https://phiguard.app/alternatives/hive-alternative","200","https://phiguard.app/alternatives/hive-alternative","text/html","","","https://phiguard.app/alternatives/hive-alternative","Hive HIPAA Alternative | PHIGuard",""
"https://phiguard.app/alternatives/jira-alternative","200","https://phiguard.app/alternatives/jira-alternative","text/html","","","https://phiguard.app/alternatives/jira-alternative","Jira HIPAA Alternative | PHIGuard",""
"https://phiguard.app/alternatives/meistertask-alternative","200","https://phiguard.app/alternatives/meistertask-alternative","text/html","","","https://phiguard.app/alternatives/meistertask-alternative","MeisterTask HIPAA Alternative | PHIGuard",""
"https://phiguard.app/alternatives/microsoft-planner-alternative","200","https://phiguard.app/alternatives/microsoft-planner-alternative","text/html","","","https://phiguard.app/alternatives/microsoft-planner-alternative","Microsoft Planner HIPAA Alternative | PHIGuard",""
"https://phiguard.app/alternatives/microsoft-teams-alternative-healthcare","200","https://phiguard.app/alternatives/microsoft-teams-alternative-healthcare","text/html","","","https://phiguard.app/alternatives/microsoft-teams-alternative-healthcare","Microsoft Teams HIPAA Alternative | PHIGuard",""
"https://phiguard.app/alternatives/monday-alternative","200","https://phiguard.app/alternatives/monday-alternative","text/html","","","https://phiguard.app/alternatives/monday-alternative","Monday.com HIPAA Alternative | PHIGuard",""
"https://phiguard.app/alternatives/motion-alternative","200","https://phiguard.app/alternatives/motion-alternative","text/html","","","https://phiguard.app/alternatives/motion-alternative","Motion HIPAA Alternative | PHIGuard",""
